품목명,품목코드
철도용이나 궤도용 외의 차량과 그 부분품ㆍ부속품,87.0
"항공기와 우주선, 이들의 부분품",88.0
선박과 수상 구조물,89.0
"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품",90.0
시계와 그 부분품,91.0
악기와 그 부분품과 부속품,92.0
"가구, 침구ㆍ매트리스ㆍ매트리스 서포트(mattress support)ㆍ쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 조명기구, 조명용 사인ㆍ조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물",94.0
완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품,95.0
잡품,96.0
예술품ㆍ수집품ㆍ골동품,97.0
"입법 ; 설치된 간이 수정에 따른 입법을 트레이드한다 ; 추가적 수입제한농업인 것의 제 22 부에 따른 확립된 것 조정 행위, 수정된 것처럼",99.0
