year,WTI
2022,88.15
2021,68.22250000000001
2020,38.59583333333333
2019,57.09916666666666
2018,64.54416666666667
2017,51.86499999999999
2016,44.468333333333334
2015,49.307500000000005
2014,91.2275
2013,97.6075
2012,94.05166666666666
