2012.01.01 ~ 2012.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,137.31","1,115.55","1,146.14","1,106.72","1,126.43",1.0000
JPY, 100,"1,426.66","1,399.26","1,437.68","1,388.24","1,412.96",1.2540
EUR,/Ǖ /μ/td>,"1,462.05","1,433.11","1,476.52","1,418.63","1,447.58",1.2854
GBP,Ƅ,"1,802.43","1,766.75","1,820.28","1,748.90","1,784.59",1.5846
CAD,ĳ٠޷,"1,138.29","1,115.75","1,149.56","1,104.48","1,127.02",1.0007
CHF,' ǁ,"1,213.01","1,189.00","1,225.02","1,176.99","1,201.01",1.0664
HKD,ȫġ ޷,146.66,143.76,148.11,142.31,145.21,0.1289
CNY,_ 'ȼ/td>,180.30,176.74,191.01,166.02,178.52,0.1585
THB,ł ن,36.59,35.88,36.96,35.52,36.24,0.0322
IDR,׽þƠ100燇Ƽ/span>,12.16,11.93,12.28,11.81,12.04,0.0107
SEK,ũγ׼/td>,167.93,164.61,169.59,162.95,166.27,0.1477
AUD,ȣV ޷,"1,178.05","1,154.73","1,189.71","1,143.06","1,166.39",1.0358
DKK,ũ ũγ׼/td>,196.44,192.56,198.38,190.61,194.50,0.1727
NOK,븣 ũγ׼/td>,195.49,191.62,197.42,189.69,193.55,0.1719
SAR,翬𠸮˼/td>,303.36,297.36,306.36,294.36,300.36,0.2667
KWD,ĭƮ 𳪸,"4,061.92","3,981.49","4,102.13","3,941.28","4,021.71",3.5701
BHD,ٷ 𳪸,"3,017.91","2,958.16","3,047.79","2,928.28","2,988.03",2.6526
AED,U.A.E 𸣇Լ/td>,309.74,303.62,312.81,300.55,306.68,0.2723
SGD,̰Ʒ ޷,910.33,892.31,919.34,883.30,901.32,0.8004
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,364.70,0.3238
NZD,z場޷,921.18,902.95,930.30,893.83,912.07,0.8101
TWD,ŸϠ޷,0.00,0.00,40.37,35.81,38.09,0.0338
PHP,Ǌǉ ƤҼ/td>,0.00,0.00,28.29,25.10,26.69,0.0237
VND,Ʈ 100,0.00,0.00,6.05,4.77,5.41,0.0048
PLN,ƺ__n__/td>,350.00,343.08,374.26,318.82,346.54,0.3078
RUB,þƠ纭,36.62,35.91,38.80,31.92,36.26,0.0322
ZAR,ư 弯td>,139.07,136.32,148.71,126.69,137.70,0.1222
INR, 燇,0.00,0.00,22.82,19.87,21.13,0.0188
PKR,ƄŰź 燇,0.00,0.00,12.56,10.63,12.08,0.0107
BDT,汛󵥽àŸī,0.00,0.00,14.33,12.13,13.78,0.0122
EGP,}Ʈ Ƅ,0.00,0.00,193.05,170.78,185.63,0.1648
MXN,߽ÄڠƤҼ/td>,86.41,84.71,88.98,75.30,85.56,0.0760
BRL,궳z ˼/td>,0.00,0.00,602.08,509.46,578.93,0.5138
BND,귧 ޷,0.00,0.00,937.48,847.35,901.43,0.8005
ILS,󿤠Č,0.00,0.00,303.79,268.75,292.11,0.2593
JOD,丣ܠ𳪸,0.00,0.00,"1,654.71","1,463.79","1,591.07",1.4125
ARS,ƸǮƼ,0.00,0.00,258.32,218.59,248.39,0.2204
CZK,üĚ Ě糪,0.00,0.00,62.28,53.06,57.67,0.0512
MNT,񠅵׸,0.00,0.00,0.90,0.77,0.83,0.0007
FJD,Ǉv ޷,0.00,0.00,674.91,574.93,624.92,0.5549
KHR,į𾆠,0.00,0.00,30.14,25.68,27.91,0.0248
TRY,ƢŰ 󼯴d>,632.42,619.90,676.25,576.07,626.16,0.5560
HUF,ǫ ƷƮ,5.06,4.97,5.41,4.62,5.02,0.0045
QAR,īŸ ˼/td>,0.00,0.00,346.53,272.29,309.41,0.2747
XAU,GOLD 1g,"60,989.05","59,781.35",0.00,0.00,"60,385.20",53.6400
