2014.01.01 ~ 2014.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,063.47","1,043.13","1,071.73","1,034.87","1,053.30",1.0000
JPY, 100,"1,006.03",986.71,"1,013.80",978.94,996.37,0.9470
EUR,/Ǖ /μ/td>,"1,412.80","1,384.83","1,426.78","1,370.84","1,398.81",1.3289
GBP,Ƅ,"1,751.99","1,717.30","1,769.33","1,699.96","1,734.65",1.6479
CAD,ĳ٠޷,963.09,944.03,972.62,934.49,953.56,0.9057
CHF,' ǁ,"1,162.97","1,139.95","1,174.49","1,128.44","1,151.46",1.0938
HKD,ȫġ ޷,137.18,134.47,138.54,133.12,135.83,0.1290
CNY,_ 'ȼ/td>,172.66,169.25,181.59,160.32,170.95,0.1623
THB,ł ن,32.75,32.11,33.07,31.78,32.43,0.0308
IDR,׽þƠ100燇Ƽ/span>,8.97,8.80,9.19,8.55,8.89,0.0084
SEK,ũγ׼/td>,155.38,152.32,156.92,150.78,153.85,0.1462
AUD,ȣV ޷,959.00,940.02,968.50,930.53,949.51,0.9023
DKK,ũ ũγ׼/td>,189.51,185.76,191.38,183.89,187.63,0.1782
NOK,븣 ũγ׼/td>,169.07,165.73,170.74,164.05,167.40,0.1591
SAR,翬𠸮˼/td>,283.62,278.01,289.69,270.31,280.82,0.2666
KWD,ĭƮ 𳪸,"3,737.31","3,663.32","3,844.93","3,555.70","3,700.31",3.5139
BHD,ٷ 𳪸,"2,822.20","2,766.32","2,893.45","2,673.41","2,794.26",2.6529
AED,U.A.E 𸣇Լ/td>,289.64,283.91,295.84,276.04,286.77,0.2723
SGD,̰Ʒ ޷,839.32,822.71,847.63,814.40,831.02,0.7893
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,321.90,0.3058
NZD,z場޷,882.93,865.45,891.67,856.71,874.19,0.8307
TWD,ŸϠ޷,0.00,0.00,36.82,32.66,34.74,0.0330
PHP,Ǌǉ ƤҼ/td>,0.00,0.00,25.42,22.31,23.72,0.0225
VND,Ʈ 100,0.00,0.00,5.56,4.39,4.97,0.0047
PLN,ƺ__n__/td>,337.74,331.06,361.15,307.66,334.40,0.3177
RUB,þƠ纭,28.13,27.58,29.80,24.52,27.85,0.0265
ZAR,ư 弯td>,98.13,96.20,104.93,89.40,97.17,0.0923
INR, 燇,0.00,0.00,18.64,16.23,17.26,0.0164
PKR,ƄŰź 燇,0.00,0.00,11.09,9.19,10.43,0.0099
BDT,汛󵥽àŸī,0.00,0.00,14.39,11.96,13.58,0.0129
EGP,}Ʈ Ƅ,0.00,0.00,156.98,135.15,148.75,0.1412
MXN,߽ÄڠƤҼ/td>,79.94,78.37,84.41,69.66,79.16,0.0752
BRL,궳z ˼/td>,0.00,0.00,477.81,394.50,448.29,0.4262
BND,귧 ޷,0.00,0.00,864.35,781.25,831.11,0.7894
ILS,󿤠Č,0.00,0.00,310.83,271.13,294.70,0.2800
JOD,丣ܠ𳪸,0.00,0.00,"1,547.27","1,368.74","1,487.76",1.4125
ARS,ƸǮƼ,0.00,0.00,139.43,117.99,134.07,0.1280
CZK,üĚ Ě糪,0.00,0.00,54.89,46.77,50.83,0.0483
MNT,񠅵׸,0.00,0.00,0.62,0.54,0.58,0.0005
FJD,Ǉv ޷,0.00,0.00,599.24,510.47,554.85,0.5271
KHR,į𾆠,0.00,0.00,28.36,24.17,26.26,0.0249
TRY,ƢŰ 󼯴d>,486.50,476.88,520.22,443.16,481.69,0.4576
HUF,ǫ ƷƮ,4.58,4.50,4.90,4.18,4.54,0.0043
QAR,īŸ ˼/td>,0.00,0.00,324.01,254.59,289.30,0.2747
XAU,GOLD 1g,"43,289.84","42,432.62",0.00,0.00,"42,861.23",40.7181
XAG,SILVER 1g,0.00,0.00,0.00,0.00,612.41,0.5803
