2016.01.01 ~ 2016.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,172.33","1,149.90","1,181.43","1,140.80","1,161.11",1.0000
JPY, 100,"1,079.67","1,058.94","1,088.01","1,050.60","1,069.31",0.9221
EUR,/Ǖ /μ/td>,"1,296.93","1,271.26","1,309.56","1,258.63","1,284.10",1.1062
GBP,Ƅ,"1,588.52","1,557.08","1,604.00","1,541.60","1,572.80",1.3535
CAD,ĳ٠޷,885.36,867.84,893.98,859.22,876.60,0.7554
CHF,' ǁ,"1,189.88","1,166.33","1,201.47","1,154.75","1,178.11",1.0150
HKD,ȫġ ޷,151.08,148.10,152.55,146.63,149.59,0.1288
CNY,_ 'ȼ/td>,176.17,172.69,183.14,165.71,174.43,0.1502
THB,ł ن,33.22,32.57,33.54,32.24,32.89,0.0283
IDR,׽þƠ100燇Ƽ/span>,8.82,8.66,9.26,8.14,8.74,0.0075
SEK,ũγ׼/td>,137.07,134.37,138.43,133.01,135.72,0.1169
AUD,ȣV ޷,872.62,855.35,881.11,846.85,863.98,0.7446
DKK,ũ ũγ׼/td>,174.17,170.73,175.90,169.01,172.45,0.1486
NOK,븣 ũγ׼/td>,139.58,136.83,140.96,135.44,138.20,0.1191
SAR,翬𠸮˼/td>,312.67,306.49,325.05,289.46,309.58,0.2666
KWD,ĭƮ 𳪸,"3,880.06","3,803.24","4,110.56","3,572.74","3,841.65",3.3087
BHD,ٷ 𳪸,"3,111.13","3,049.53","3,265.15","2,833.91","3,080.33",2.6529
AED,U.A.E 𸣇Լ/td>,319.28,312.97,331.93,295.58,316.12,0.2723
SGD,̰Ʒ ޷,849.04,832.24,857.45,823.83,840.64,0.7243
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,280.40,0.2416
NZD,z場޷,817.42,801.24,825.37,793.29,809.33,0.6977
TWD,ŸϠ޷,0.00,0.00,38.18,33.86,36.02,0.0310
PHP,Ǌǉ ƤҼ/td>,24.69,24.21,26.64,22.99,24.45,0.0211
VND,Ʈ 100,0.00,0.00,5.80,4.58,5.19,0.0045
PLN,ƺ__n__/td>,297.33,291.45,317.94,270.84,294.39,0.2537
RUB,þƠ纭,17.59,17.25,18.64,15.34,17.42,0.0150
ZAR,ư 弯td>,80.00,78.43,85.54,72.88,79.21,0.0683
INR, 燇,0.00,0.00,18.66,16.25,17.28,0.0149
PKR,ƄŰź 燇,0.00,0.00,12.19,9.76,11.08,0.0095
BDT,汛󵥽àŸī,0.00,0.00,16.10,13.01,14.78,0.0127
EGP,}Ʈ Ƅ,0.00,0.00,133.19,109.77,123.33,0.1062
MXN,߽ÄڠƤҼ/td>,62.92,61.68,69.15,54.83,62.30,0.0537
BRL,궳z ˼/td>,0.00,0.00,371.65,294.65,334.82,0.2889
BND,귧 ޷,0.00,0.00,874.45,790.38,840.83,0.7245
ILS,󿤠Č,0.00,0.00,326.58,278.21,302.40,0.2605
JOD,丣ܠ𳪸,0.00,0.00,"1,704.91","1,508.20","1,639.34",1.4119
CZK,üĚ Ě糪,0.00,0.00,51.29,43.70,47.50,0.0409
MNT,񠅵׸,0.00,0.00,0.58,0.51,0.54,0.0005
FJD,Ǉv ޷,0.00,0.00,616.86,525.48,571.17,0.4919
KHR,į𾆠,0.00,0.00,30.69,26.16,28.43,0.0245
TRY,ƢŰ 󼯴d>,388.63,380.94,415.56,354.01,384.78,0.3315
HUF,ǫ ƷƮ,4.16,4.08,4.44,3.79,4.12,0.0035
QAR,īŸ ˼/td>,0.00,0.00,357.17,280.65,318.91,0.2747
XAU,GOLD 1g,"47,014.56","46,083.59",0.00,0.00,"46,549.08",40.1433
XAG,SILVER 1g,0.00,0.00,0.00,0.00,637.97,0.5509
