2013.01.01 ~ 2013.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,105.54","1,084.40","1,114.13","1,075.81","1,094.97",1.0000
JPY, 100,"1,134.63","1,112.84","1,143.39","1,104.07","1,123.73",1.0264
EUR,/Ǖ /μ/td>,"1,468.00","1,438.94","1,482.53","1,424.40","1,453.47",1.3279
GBP,Ƅ,"1,728.54","1,694.32","1,745.66","1,677.21","1,711.43",1.5639
CAD,ĳ٠޷,"1,073.76","1,052.51","1,084.39","1,041.88","1,063.13",0.9709
CHF,' ǁ,"1,192.65","1,169.04","1,204.45","1,157.23","1,180.84",1.0789
HKD,ȫġ ޷,142.57,139.76,143.98,138.35,141.16,0.1289
CNY,_ 'ȼ/td>,179.88,176.33,190.57,165.64,178.11,0.1627
THB,ł ن,36.04,35.33,36.39,34.98,35.69,0.0326
IDR,׽þƠ100燇Ƽ/span>,10.68,10.48,10.79,10.37,10.58,0.0097
SEK,ũγ׼/td>,169.74,166.39,171.42,164.71,168.06,0.1535
AUD,ȣV ޷,"1,070.63","1,049.44","1,081.23","1,038.84","1,060.04",0.9681
DKK,ũ ũγ׼/td>,196.84,192.95,198.79,191.00,194.90,0.1781
NOK,븣 ũγ׼/td>,188.27,184.55,190.13,182.69,186.41,0.1702
SAR,翬𠸮˼/td>,294.88,289.05,297.80,286.13,291.97,0.2666
KWD,ĭƮ 𳪸,"3,896.48","3,819.33","3,935.06","3,780.75","3,857.91",3.5237
BHD,ٷ 𳪸,"2,934.00","2,875.91","2,963.05","2,846.86","2,904.96",2.6530
AED,U.A.E 𸣇Լ/td>,301.09,295.14,304.07,292.16,298.12,0.2723
SGD,̰Ʒ ޷,883.74,866.25,892.49,857.50,874.99,0.7992
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,348.01,0.3178
NZD,z場޷,906.55,888.61,915.52,879.63,897.58,0.8200
TWD,ŸϠ޷,0.00,0.00,39.10,34.69,36.90,0.0337
PHP,Ǌǉ ƤҼ/td>,0.00,0.00,27.38,24.29,25.84,0.0236
VND,Ʈ 100,0.00,0.00,5.85,4.62,5.23,0.0048
PLN,ƺ__n__/td>,350.13,343.20,374.39,318.93,346.66,0.3168
RUB,þƠ纭,34.74,34.07,36.81,30.29,34.40,0.0314
ZAR,ư 弯td>,115.18,112.91,123.16,104.92,114.04,0.1041
INR, 燇,0.00,0.00,20.30,17.68,18.80,0.0172
PKR,ƄŰź 燇,0.00,0.00,11.23,9.51,10.80,0.0099
BDT,汛󵥽àŸī,0.00,0.00,14.60,12.36,14.04,0.0128
EGP,}Ʈ Ƅ,0.00,0.00,165.96,146.82,159.58,0.1458
MXN,߽ÄڠƤҼ/td>,86.73,85.02,89.30,75.57,85.87,0.0784
BRL,궳z ˼/td>,0.00,0.00,530.44,448.84,510.04,0.4657
BND,귧 ޷,0.00,0.00,910.25,822.74,875.25,0.7994
ILS,󿤠Č,0.00,0.00,315.25,278.88,303.13,0.2769
JOD,丣ܠ𳪸,0.00,0.00,"1,608.56","1,422.96","1,546.69",1.4125
ARS,ƸǮƼ,0.00,0.00,209.55,177.32,201.50,0.1839
CZK,üĚ Ě糪,0.00,0.00,60.52,51.56,56.04,0.0512
MNT,񠅵׸,0.00,0.00,0.79,0.68,0.73,0.0007
FJD,Ǉv ޷,0.00,0.00,640.44,545.56,593.00,0.5416
KHR,į𾆠,0.00,0.00,29.53,25.17,27.35,0.0250
TRY,ƢŰ 󼯴d>,583.30,571.76,623.73,531.33,577.53,0.5272
HUF,ǫ ƷƮ,4.95,4.86,5.29,4.52,4.90,0.0045
QAR,īŸ ˼/td>,0.00,0.00,336.94,264.75,300.85,0.2748
XAU,GOLD 1g,"50,208.08","49,213.87",0.00,0.00,"49,710.98",45.3988
