2015.01.01 ~ 2015.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,143.03","1,121.17","1,151.91","1,112.29","1,132.10",1.0000
JPY, 100,944.13,926.00,951.42,918.71,935.06,0.8262
EUR,/Ǖ /μ/td>,"1,268.33","1,243.23","1,280.89","1,230.67","1,255.78",1.1095
GBP,Ƅ,"1,747.86","1,713.26","1,765.17","1,695.95","1,730.56",1.5285
CAD,ĳ٠޷,894.46,876.76,903.32,867.90,885.61,0.7832
CHF,' ǁ,"1,187.71","1,164.20","1,199.47","1,152.44","1,175.96",1.0393
HKD,ȫġ ޷,147.49,144.58,148.95,143.12,146.03,0.1290
CNY,_ 'ȼ/td>,181.31,177.73,188.49,170.55,179.52,0.1586
THB,ł ن,33.38,32.73,33.71,32.40,33.05,0.0292
IDR,׽þƠ100燇Ƽ/span>,8.54,8.38,8.96,7.87,8.46,0.0075
SEK,ũγ׼/td>,135.64,132.97,136.99,131.62,134.30,0.1187
AUD,ȣV ޷,858.92,841.92,867.43,833.42,850.42,0.7521
DKK,ũ ũγ׼/td>,170.04,166.68,171.72,165.00,168.36,0.1487
NOK,븣 ũγ׼/td>,141.73,138.93,143.13,137.53,140.33,0.1241
SAR,翬𠸮˼/td>,304.83,298.80,316.90,282.20,301.81,0.2666
KWD,ĭƮ 𳪸,"3,798.82","3,723.61","4,024.49","3,497.93","3,761.21",3.3230
BHD,ٷ 𳪸,"3,033.05","2,973.00","3,183.20","2,762.79","3,003.02",2.6526
AED,U.A.E 𸣇Լ/td>,311.31,305.15,323.64,288.20,308.23,0.2723
SGD,̰Ʒ ޷,831.54,815.09,839.78,806.85,823.31,0.7277
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,290.88,0.2575
NZD,z場޷,798.39,782.59,806.30,774.69,790.49,0.6996
TWD,ŸϠ޷,0.00,0.00,37.78,33.51,35.65,0.0315
PHP,Ǌǉ ƤҼ/td>,5.60,5.49,27.09,23.38,24.86,0.0220
VND,Ʈ 100,0.00,0.00,5.77,4.55,5.16,0.0046
PLN,ƺ__n__/td>,303.11,297.12,324.12,276.11,300.12,0.2652
RUB,þƠ纭,18.83,18.47,19.95,16.42,18.65,0.0165
ZAR,ư 弯td>,89.92,88.15,96.15,81.91,89.03,0.0788
INR, 燇,0.00,0.00,19.06,16.60,17.65,0.0156
PKR,ƄŰź 燇,0.00,0.00,12.11,9.70,11.01,0.0097
BDT,汛󵥽àŸī,0.00,0.00,15.84,12.80,14.54,0.0128
EGP,}Ʈ Ƅ,0.00,0.00,158.53,130.65,146.79,0.1297
MXN,߽ÄڠƤҼ/td>,72.10,70.68,79.24,62.83,71.39,0.0632
BRL,궳z ˼/td>,0.00,0.00,382.04,302.89,344.19,0.3051
BND,귧 ޷,0.00,0.00,856.48,774.14,823.55,0.7279
ILS,󿤠Č,0.00,0.00,314.86,268.22,291.54,0.2575
JOD,丣ܠ𳪸,0.00,0.00,"1,661.63","1,469.92","1,597.73",1.4113
CZK,üĚ Ě糪,0.00,0.00,49.72,42.36,46.04,0.0407
MNT,񠅵׸,0.00,0.00,0.62,0.54,0.58,0.0005
FJD,Ǉv ޷,0.00,0.00,601.03,512.00,556.51,0.4916
KHR,į𾆠,0.00,0.00,29.96,25.53,27.74,0.0245
TRY,ƢŰ 󼯴d>,421.10,412.77,450.29,383.59,416.94,0.3690
HUF,ǫ ƷƮ,4.09,4.01,4.37,3.73,4.05,0.0036
QAR,īŸ ˼/td>,0.00,0.00,348.32,273.69,311.01,0.2747
XAU,GOLD 1g,"42,593.61","41,750.18",0.00,0.00,"42,171.90",37.3016
XAG,SILVER 1g,0.00,0.00,0.00,0.00,570.33,0.5047
