2017.01.01 ~ 2017.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,141.53","1,119.70","1,150.40","1,110.83","1,130.61",1.0000
JPY, 100,"1,018.07",998.52,"1,025.94",990.65,"1,008.29",0.8919
EUR,/Ǖ /μ/td>,"1,289.20","1,263.68","1,301.58","1,251.30","1,276.44",1.1296
GBP,Ƅ,"1,469.84","1,440.74","1,483.96","1,426.63","1,455.29",1.2877
CAD,ĳ٠޷,880.32,862.90,888.78,854.44,871.61,0.7711
CHF,' ǁ,"1,160.04","1,137.08","1,171.18","1,125.94","1,148.56",1.0160
HKD,ȫġ ޷,146.54,143.65,147.95,142.24,145.10,0.1283
CNY,_ 'ȼ/td>,169.14,165.80,175.84,159.10,167.47,0.1482
THB,ł ن,33.66,33.00,33.99,32.67,33.33,0.0295
IDR,׽þƠ100燇Ƽ/span>,8.53,8.37,8.95,7.86,8.45,0.0075
SEK,ũγ׼/td>,133.76,131.12,135.09,129.80,132.44,0.1172
AUD,ȣV ޷,875.47,858.14,883.88,849.74,866.81,0.7668
DKK,ũ ũγ׼/td>,173.30,169.88,175.02,168.16,171.59,0.1519
NOK,븣 ũγ׼/td>,138.20,135.47,139.57,134.10,136.84,0.1210
SAR,翬𠸮˼/td>,304.48,298.46,316.54,281.88,301.47,0.2666
KWD,ĭƮ 𳪸,"3,764.38","3,689.85","3,988.01","3,466.22","3,727.12",3.2967
BHD,ٷ 𳪸,"3,028.36","2,968.41","3,178.28","2,758.52","2,998.39",2.6520
AED,U.A.E 𸣇Լ/td>,310.89,304.75,323.21,287.82,307.82,0.2723
SGD,̰Ʒ ޷,826.99,810.63,835.18,802.44,818.81,0.7244
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,262.89,0.2326
NZD,z場޷,811.75,795.68,819.54,787.89,803.71,0.7108
TWD,ŸϠ޷,0.00,0.00,39.37,34.92,37.14,0.0329
PHP,Ǌǉ ƤҼ/td>,22.66,22.22,24.45,21.10,22.44,0.0198
VND,Ʈ 100,0.00,0.00,5.56,4.39,4.98,0.0044
PLN,ƺ__n__/td>,302.89,296.90,323.88,275.91,299.90,0.2655
RUB,þƠ纭,19.57,19.19,20.73,17.06,19.38,0.0171
ZAR,ư 弯td>,85.87,84.18,91.82,78.23,85.03,0.0752
INR, 燇,0.00,0.00,18.74,16.32,17.36,0.0154
PKR,ƄŰź 燇,0.00,0.00,11.80,9.45,10.73,0.0095
BDT,汛󵥽àŸī,0.00,0.00,15.18,12.27,13.93,0.0123
EGP,}Ʈ Ƅ,0.00,0.00,68.49,56.45,63.42,0.0561
MXN,߽ÄڠƤҼ/td>,60.52,59.33,66.51,52.74,59.93,0.0530
BRL,궳z ˼/td>,0.00,0.00,393.26,311.79,354.30,0.3133
BND,귧 ޷,0.00,0.00,851.48,769.61,818.73,0.7244
ILS,󿤠Č,0.00,0.00,339.33,289.07,314.20,0.2780
JOD,丣ܠ𳪸,0.00,0.00,"1,658.37","1,467.03","1,594.59",1.4104
CZK,üĚ Ě糪,0.00,0.00,52.38,44.63,48.50,0.0429
MNT,񠅵׸,0.00,0.00,0.49,0.43,0.46,0.0004
FJD,Ǉv ޷,0.00,0.00,586.95,500.00,543.47,0.4806
KHR,į𾆠,0.00,0.00,30.23,25.76,28.00,0.0248
TRY,ƢŰ 󼯴d>,313.57,307.37,335.30,285.64,310.47,0.2745
HUF,ǫ ƷƮ,4.17,4.09,4.45,3.80,4.13,0.0037
QAR,īŸ ˼/td>,0.00,0.00,345.42,271.41,308.41,0.2728
KZT,īȥź ŞԼ/td>,0.00,0.00,3.83,3.08,3.45,0.0031
NPR,׆Ƞ燇,0.00,0.00,12.04,9.67,10.86,0.0097
XAU,GOLD 1g,"46,176.63","45,262.26",0.00,0.00,"45,719.45",40.4517
XAG,SILVER 1g,0.00,0.00,0.00,0.00,620.66,0.5489
