2020.01.01 ~ 2020.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,191.29","1,168.50","1,200.54","1,159.25","1,179.90",1.0000
JPY, 100,"1,116.08","1,094.64","1,124.70","1,086.02","1,105.36",0.9372
EUR,/Ǖ /μ/td>,"1,359.57","1,332.65","1,372.62","1,319.60","1,346.11",1.1422
GBP,Ƅ,"1,528.39","1,498.13","1,543.06","1,483.45","1,513.26",1.2838
CAD,ĳ٠޷,888.83,871.24,897.37,862.70,880.04,0.7466
CHF,' ǁ,"1,270.06","1,244.92","1,282.26","1,232.73","1,257.49",1.0667
HKD,ȫġ ޷,153.64,150.61,155.12,149.14,152.13,0.1289
CNY,_ 'ȼ/td>,172.60,169.19,179.44,162.36,170.90,0.1450
THB,ł ن,38.11,37.36,38.49,36.99,37.74,0.0320
IDR,׽þƠ100燇Ƽ/span>,8.23,8.07,8.63,7.58,8.15,0.0069
SEK,ũγ׼/td>,129.75,127.19,131.04,125.91,128.47,0.1091
AUD,ȣV ޷,822.03,805.76,829.92,797.86,813.89,0.6910
DKK,ũ ũγ׼/td>,182.38,178.78,184.18,176.97,180.58,0.1532
NOK,븣 ũγ׼/td>,126.90,124.40,128.15,123.14,125.65,0.1067
SAR,翬𠸮˼/td>,317.55,311.27,330.12,293.98,314.41,0.2665
KWD,ĭƮ 𳪸,"3,884.15","3,807.25","4,114.89","3,576.50","3,845.70",3.2600
BHD,ٷ 𳪸,"3,159.16","3,096.62","3,315.56","2,877.66","3,127.89",2.6510
AED,U.A.E 𸣇Լ/td>,324.42,318.01,337.27,300.34,321.22,0.2722
SGD,̰Ʒ ޷,863.62,846.53,872.17,837.98,855.07,0.7252
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,280.70,0.2381
NZD,z場޷,774.46,759.13,781.90,751.70,766.80,0.6510
TWD,ŸϠ޷,0.00,0.00,42.47,37.67,40.07,0.0340
PHP,Ǌǉ ƤҼ/td>,24.02,23.55,25.92,22.36,23.78,0.0202
VND,Ʈ 100,5.13,5.03,5.68,4.48,5.08,0.0043
PLN,ƺ__n__/td>,306.11,300.06,327.33,278.84,303.08,0.2572
RUB,þƠ纭,16.57,16.25,17.55,14.45,16.41,0.0139
ZAR,ư 弯td>,72.72,71.29,77.76,66.25,72.00,0.0611
INR, 燇,16.07,15.76,17.18,14.97,15.92,0.0135
PKR,ƄŰź 燇,0.00,0.00,0.00,0.00,7.29,0.0062
BDT,汛󵥽àŸī,0.00,0.00,0.00,0.00,13.90,0.0118
EGP,}Ʈ Ƅ,0.00,0.00,0.00,0.00,74.59,0.0632
MXN,߽ÄڠƤҼ/td>,55.73,54.64,61.25,48.57,55.18,0.0469
BRL,궳z ˼/td>,0.00,0.00,256.61,203.45,231.18,0.1959
BND,귧 ޷,0.00,0.00,888.96,803.49,854.77,0.7250
ILS,󿤠Č,0.00,0.00,370.39,315.52,342.96,0.2909
JOD,丣ܠ𳪸,0.00,0.00,"1,730.71","1,531.03","1,664.15",1.4104
CZK,üĚ Ě糪,0.00,0.00,54.97,46.83,50.90,0.0432
MNT,񠅵׸,0.00,0.00,0.00,0.00,0.42,0.0004
FJD,Ǉv ޷,0.00,0.00,582.15,495.91,539.03,0.4572
KHR,į𾆠,0.00,0.00,31.40,26.76,29.08,0.0246
TRY,ƢŰ 󼯴d>,171.80,168.41,183.71,156.50,170.10,0.1439
HUF,ǫ ƷƮ,3.87,3.80,4.14,3.53,3.84,0.0033
QAR,īŸ ˼/td>,0.00,0.00,0.00,0.00,323.13,0.2739
KZT,īȥź ŞԼ/td>,0.00,0.00,0.00,0.00,2.86,0.0024
NPR,׆Ƞ燇,0.00,0.00,0.00,0.00,9.95,0.0084
XAU,GOLD 1g,"67,805.48","66,462.81",0.00,0.00,"67,134.15",56.9712
XAG,SILVER 1g,0.00,0.00,0.00,0.00,775.97,0.6611
