2018.01.01 ~ 2018.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,111.71","1,090.45","1,120.35","1,081.82","1,101.08",1.0000
JPY, 100,"1,006.73",987.40,"1,014.51",979.62,997.07,0.9059
EUR,/Ǖ /μ/td>,"1,312.65","1,286.66","1,325.25","1,274.06","1,299.65",1.1811
GBP,Ƅ,"1,483.88","1,454.50","1,498.13","1,440.25","1,469.19",1.3353
CAD,ĳ٠޷,857.99,841.01,866.23,832.77,849.50,0.7718
CHF,' ǁ,"1,136.29","1,113.79","1,147.20","1,102.88","1,125.04",1.0221
HKD,ȫġ ޷,141.88,139.08,143.24,137.71,140.48,0.1276
CNY,_ 'ȼ/td>,168.14,164.82,174.80,158.17,166.48,0.1513
THB,ł ن,34.39,33.72,34.73,33.37,34.05,0.0309
IDR,׽þƠ100燇Ƽ/span>,7.81,7.67,8.20,7.20,7.74,0.0070
SEK,ũγ׼/td>,128.00,125.48,129.27,124.21,126.74,0.1152
AUD,ȣV ޷,831.15,814.70,839.13,806.72,822.93,0.7480
DKK,ũ ũγ׼/td>,176.11,172.63,177.85,170.89,174.37,0.1585
NOK,븣 ũγ׼/td>,136.68,133.98,138.03,132.63,135.33,0.1230
SAR,翬𠸮˼/td>,296.50,290.64,308.25,274.49,293.57,0.2666
KWD,ĭƮ 𳪸,"3,681.72","3,608.83","3,900.44","3,390.11","3,645.27",3.3110
BHD,ٷ 𳪸,"2,947.75","2,889.39","3,093.68","2,685.09","2,918.57",2.6507
AED,U.A.E 𸣇Լ/td>,302.76,296.78,314.75,280.29,299.77,0.2723
SGD,̰Ʒ ޷,824.20,807.89,832.36,799.73,816.05,0.7415
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,272.95,0.2480
NZD,z場޷,769.85,754.62,777.24,747.22,762.23,0.6928
TWD,ŸϠ޷,0.00,0.00,38.73,34.36,36.55,0.0332
PHP,Ǌǉ ƤҼ/td>,21.11,20.71,22.79,19.66,20.91,0.0190
VND,Ʈ 100,0.69,0.68,5.34,4.22,4.78,0.0043
PLN,ƺ__n__/td>,308.19,302.09,329.55,280.73,305.14,0.2774
RUB,þƠ纭,17.77,17.43,18.83,15.50,17.60,0.0160
ZAR,ư 弯td>,84.44,82.77,90.29,76.92,83.60,0.0761
INR, 燇,0.00,0.00,17.41,15.16,16.12,0.0147
PKR,ƄŰź 燇,0.00,0.00,4.53,3.63,9.07,0.0083
BDT,汛󵥽àŸī,0.00,0.00,6.10,4.93,13.14,0.0119
EGP,}Ʈ Ƅ,0.00,0.00,28.46,23.46,61.80,0.0561
MXN,߽ÄڠƤҼ/td>,57.86,56.72,63.59,50.42,57.29,0.0520
BRL,궳z ˼/td>,0.00,0.00,336.51,266.79,303.16,0.2758
BND,귧 ޷,0.00,0.00,848.71,767.11,816.07,0.7414
ILS,󿤠Č,0.00,0.00,330.96,281.94,306.45,0.2785
JOD,丣ܠ𳪸,0.00,0.00,"1,613.86","1,427.65","1,551.79",1.4093
CZK,üĚ Ě糪,0.00,0.00,54.72,46.62,50.67,0.0461
MNT,񠅵׸,0.00,0.00,0.21,0.18,0.45,0.0004
FJD,Ǉv ޷,0.00,0.00,565.35,481.61,523.48,0.4756
KHR,į𾆠,0.00,0.00,29.55,25.18,27.37,0.0249
TRY,ƢŰ 󼯴d>,236.81,232.13,253.23,215.72,234.47,0.2137
HUF,ǫ ƷƮ,4.11,4.04,4.40,3.76,4.08,0.0037
QAR,īŸ ˼/td>,0.00,0.00,143.56,112.80,302.41,0.2747
KZT,īȥź ŞԼ/td>,0.00,0.00,1.59,1.28,3.20,0.0029
NPR,׆Ƞ燇,0.00,0.00,4.96,3.98,10.08,0.0092
XAU,GOLD 1g,"45,353.67","44,455.59",0.00,0.00,"44,904.63",40.8197
XAG,SILVER 1g,0.00,0.00,0.00,0.00,555.70,0.5054
